Date,Name,Year,Letterboxd URI,Genre,Director,Writer,Actors,Language,Country,Poster
2025-02-25,The Big Short,2015,https://boxd.it/ajZw,"Biography, Comedy, Drama",Adam McKay,"Charles Randolph, Adam McKay, Michael Lewis","Christian Bale, Steve Carell, Ryan Gosling",English,United States,https://m.media-amazon.com/images/M/MV5BZDZkNDQ3YjktYjBlZC00YTY1LTgxOGYtY2RhMWFhZmNkZGY3XkEyXkFqcGc@._V1_SX300.jpg
2025-02-26,Incendies,2010,https://boxd.it/Msm,"Drama, Mystery, War",Denis Villeneuve,"Wajdi Mouawad, Denis Villeneuve, Valérie Beaugrand-Champagne","Mustafa Kamel, Hussein Sami, Rémy Girard","French, Arabic, English","Canada, France",https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_SX300.jpg
2025-02-26,Sicario,2015,https://boxd.it/8i7u,"Action, Crime, Drama",Denis Villeneuve,Taylor Sheridan,"Emily Blunt, Josh Brolin, Benicio Del Toro","English, Spanish, Ukrainian","United States, Mexico, Hong Kong",https://m.media-amazon.com/images/M/MV5BMjA5NjM3NTk1M15BMl5BanBnXkFtZTgwMzg1MzU2NjE@._V1_SX300.jpg
2025-02-26,Central Station,1998,https://boxd.it/29RG,Drama,Walter Salles,"Marcos Bernstein, João Emanuel Carneiro, Walter Salles","Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra",Portuguese,"Brazil, France",https://m.media-amazon.com/images/M/MV5BOGFiNWMzZTUtNDI5OS00MjFlLThkNzctYjg2OGJlM2U1NjIyXkEyXkFqcGc@._V1_SX300.jpg
2025-03-01,American History X,1998,https://boxd.it/2bdo,"Crime, Drama",Tony Kaye,David McKenna,"Edward Norton, Edward Furlong, Beverly D'Angelo",English,United States,https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_SX300.jpg
2025-03-06,Nickel Boys,2024,https://boxd.it/CStQ,Drama,RaMell Ross,"RaMell Ross, Joslyn Barnes, Colson Whitehead","Ethan Cole Sharp, Sam Malone, Najah Bradley",English,United States,https://m.media-amazon.com/images/M/MV5BMGRkMzIyY2QtMjc5My00NGRjLWE5ZGUtYjRiMDNjMzAwOTU0XkEyXkFqcGc@._V1_SX300.jpg
2025-03-06,Malu,2024,https://boxd.it/K5d6,Drama,Edmund Yeo,Edmund Yeo,"Sherlyn Seo, Mayjune Tan, Kiko Mizuhara","Mandarin, Japanese, English","Malaysia, Japan",https://m.media-amazon.com/images/M/MV5BN2ExODRhMWUtYzVhNC00NjYyLWI1MDItY2Y5OWY3ZTQ4OWEyXkEyXkFqcGc@._V1_SX300.jpg
2025-03-07,Sicario: Day of the Soldado,2018,https://boxd.it/e4fG,"Action, Crime, Drama",Stefano Sollima,Taylor Sheridan,"Benicio Del Toro, Josh Brolin, Isabela Merced","English, Spanish, American Sign , Arabic, Somali, Spanish Sign ",United States,https://m.media-amazon.com/images/M/MV5BMTEzNjM2NTYxMjReQTJeQWpwZ15BbWU4MDU2NzAxNTUz._V1_SX300.jpg
2025-03-11,"Rio, 40 Degrees",1955,https://boxd.it/4DUa,Drama,Nelson Pereira dos Santos,"Nelson Pereira dos Santos, Arnaldo de Farias","Modesto De Souza, Roberto Bataglin, Jece Valadão",Portuguese,Brazil,https://m.media-amazon.com/images/M/MV5BNGVlYzFjODEtNDJhZS00YWNjLTliZmYtMTIxZGU3Yzc2ODFkXkEyXkFqcGc@._V1_SX300.jpg
2025-03-19,Blow Out,1981,https://boxd.it/1TlE,"Crime, Drama, Mystery",Brian De Palma,"Brian De Palma, Bill Mesce Jr.","John Travolta, Nancy Allen, John Lithgow",English,United States,https://m.media-amazon.com/images/M/MV5BNTc0MTY2ZWMtOTY4NC00ZDUyLWI0MTUtMmYxYjA4MzJhYTk0XkEyXkFqcGc@._V1_SX300.jpg
2025-03-25,True Crime,1999,https://boxd.it/1Wtm,"Crime, Drama, Mystery",Clint Eastwood,"Andrew Klavan, Larry Gross, Paul Brickman","Clint Eastwood, Isaiah Washington, LisaGay Hamilton",English,United States,https://m.media-amazon.com/images/M/MV5BZTc0YmZlN2QtMTg5YS00Y2E1LTg2ZTYtNWQwMTZhZmZmYmI1XkEyXkFqcGc@._V1_SX300.jpg
2025-03-25,The Alto Knights,2025,https://boxd.it/CjB6,"Biography, Crime, Drama",Barry Levinson,Nicholas Pileggi,"Robert De Niro, Debra Messing, Kathrine Narducci",English,United States,https://m.media-amazon.com/images/M/MV5BNTdlY2ZmNmItMjNjMC00YzVkLWEzZDAtYzBiODJkZDRjYWVhXkEyXkFqcGc@._V1_SX300.jpg
2025-04-16,Once Upon a Time in America,1984,https://boxd.it/2aCs,"Crime, Drama",Sergio Leone,"Harry Grey, Leonardo Benvenuti, Piero De Bernardi","Robert De Niro, James Woods, Elizabeth McGovern","English, Italian, French, Yiddish, Hebrew","Italy, United States",https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_SX300.jpg
2025-04-20,Persona,1966,https://boxd.it/29B4,"Drama, Thriller",Ingmar Bergman,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook","Swedish, English",Sweden,https://m.media-amazon.com/images/M/MV5BYTRhNzkzMDktZDNlNi00MDIwLWFiNjAtNTlmYjZjYWZlMTEzXkEyXkFqcGc@._V1_SX300.jpg
2025-04-20,Stalker,1979,https://boxd.it/28PO,"Drama, Sci-Fi",Andrei Tarkovsky,"Arkadiy Strugatskiy, Boris Strugatskiy, Andrei Tarkovsky","Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn",Russian,Soviet Union,https://m.media-amazon.com/images/M/MV5BMDIzMDRiYjgtM2U1Yy00MjlhLTliODMtM2E5NDI5Njc3YmZkXkEyXkFqcGc@._V1_SX300.jpg
2025-05-20,The Secret Agent,2025,https://boxd.it/KkUE,"Drama, Thriller",Christopher Hampton,"Joseph Conrad, Christopher Hampton","Bob Hoskins, Patricia Arquette, Gérard Depardieu","English, French",United Kingdom,https://m.media-amazon.com/images/M/MV5BOTJkMzZhZDktYzhkZS00ZjBjLTk0ZGMtMGU3YjAxNTRmNGM4XkEyXkFqcGc@._V1_SX300.jpg
2025-06-13,Ballerina,2025,https://boxd.it/jKqG,"Action, Thriller",Len Wiseman,"Shay Hatten, Derek Kolstad","Ana de Armas, Keanu Reeves, Ian McShane","English, Russian, Spanish, German","United States, Hungary",https://m.media-amazon.com/images/M/MV5BNzdhZmY2OTQtYWI4OC00ZThkLTlhZjAtNzE2YzRjM2Q5YjJlXkEyXkFqcGc@._V1_SX300.jpg
2025-07-08,F1: The Movie,2025,https://boxd.it/yjVM,"Action, Drama, Sport",Joseph Kosinski,"Joseph Kosinski, Ehren Kruger","Brad Pitt, Damson Idris, Javier Bardem","English, Spanish, German, Italian",United States,https://m.media-amazon.com/images/M/MV5BZTYwYjJhNzYtY2ZiZS00ZmYxLWJkZjctYjRlNGIxYjI3ZTU0XkEyXkFqcGc@._V1_SX300.jpg
2025-07-26,Happy Gilmore,1996,https://boxd.it/1Yey,"Comedy, Sport",Dennis Dugan,"Tim Herlihy, Adam Sandler","Adam Sandler, Christopher McDonald, Julie Bowen",English,United States,https://m.media-amazon.com/images/M/MV5BMzMyZTM1MTMtNDdjOS00NzIzLTkxY2QtZTU4OGYxOTUwNDMxXkEyXkFqcGc@._V1_SX300.jpg
2025-07-26,Vitória,2025,https://boxd.it/DuDa,"Crime, Drama",Andrucha Waddington,"Paula Fiuza, Breno Silveira, Fábio Gusmão","Fernanda Montenegro, Alan Rocha, Linn da Quebrada",Portuguese,Brazil,https://m.media-amazon.com/images/M/MV5BYmVmNzJjODQtZGMxYi00ZGE4LTljNjQtZDAwMzEwYzZmOTViXkEyXkFqcGc@._V1_SX300.jpg
2025-07-26,The Terminal,2004,https://boxd.it/2a2O,"Comedy, Drama, Romance",Steven Spielberg,"Andrew Niccol, Sacha Gervasi, Jeff Nathanson","Tom Hanks, Catherine Zeta-Jones, Stanley Tucci","English, Bulgarian, Spanish, Russian, Mandarin, German, French",United States,https://m.media-amazon.com/images/M/MV5BMTM1MTIwNTMxOF5BMl5BanBnXkFtZTcwNjIxMjQyMw@@._V1_SX300.jpg
2025-07-26,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,"Drama, Mystery, Thriller",Lynne Ramsay,"Lynne Ramsay, Rory Stewart Kinnear, Lionel Shriver","Tilda Swinton, John C. Reilly, Ezra Miller",English,"United Kingdom, United States, Spain",https://m.media-amazon.com/images/M/MV5BMjE0NDE0MjYxNF5BMl5BanBnXkFtZTcwNjM2NTY5Ng@@._V1_SX300.jpg
2025-08-04,Happy Gilmore 2,2025,https://boxd.it/M8PQ,"Comedy, Sport",Kyle Newacheck,"Tim Herlihy, Adam Sandler","Adam Sandler, Julie Bowen, Christopher McDonald",English,United States,https://m.media-amazon.com/images/M/MV5BYTQyNTRmYjItMDBjYi00YWNhLWEwMmQtNzJhODNiNjEzOWJlXkEyXkFqcGc@._V1_SX300.jpg
2025-08-05,Being John Malkovich,1999,https://boxd.it/2ahu,"Comedy, Drama, Fantasy",Spike Jonze,Charlie Kaufman,"John Cusack, Cameron Diaz, Ned Bellamy",English,United States,https://m.media-amazon.com/images/M/MV5BNDExODk1MTktNzRiYS00MWEyLTgyOWItYTI1OWY4NzI1NDM2XkEyXkFqcGc@._V1_SX300.jpg
2025-08-17,Raising Cain,1992,https://boxd.it/1P5C,"Crime, Drama, Horror",Brian De Palma,Brian De Palma,"John Lithgow, Lolita Davidovich, Steven Bauer","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BYzNmZWEwM2MtMjYzMC00NTUzLThjN2YtZGJjYmViZjUwMjYxXkEyXkFqcGc@._V1_SX300.jpg
2025-08-29,The Blue Trail,2025,https://boxd.it/IrKi,,,,,,,
2025-09-21,Eddington,2025,https://boxd.it/o6MC,"Comedy, Drama, Western",Ari Aster,Ari Aster,"Joaquin Phoenix, Deirdre O'Connell, Emma Stone",English,"United States, United Kingdom, Finland",https://m.media-amazon.com/images/M/MV5BNmM0Yzc1ZjAtZTg4My00NDI3LWEwMzAtY2ZkNzMxMWMwOTFlXkEyXkFqcGc@._V1_SX300.jpg
2025-09-22,Manas,2024,https://boxd.it/LPz0,Drama,Marianna Brennand,"Camila Agustini, Carolina Benevides, Marianna Brennand","Jamilli Correa, Fátima Macedo, Rômulo Braga",Portuguese,"Brazil, Portugal",https://m.media-amazon.com/images/M/MV5BNWY4ODY5YzgtYjRlYi00OTRiLTkxNTctODUwODJlOTQ3NTY3XkEyXkFqcGc@._V1_SX300.jpg
2025-10-01,The Hateful Eight,2015,https://boxd.it/8gw8,"Crime, Drama, Mystery",Quentin Tarantino,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh","English, Spanish, French, Persian",United States,https://m.media-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_SX300.jpg
2025-10-01,Thief,1981,https://boxd.it/1TEc,"Action, Crime, Drama",Michael Mann,"Michael Mann, Frank Hohimer","James Caan, Tuesday Weld, Willie Nelson",English,United States,https://m.media-amazon.com/images/M/MV5BNzk2MGQ3NjMtNDc4Yy00NzEwLTk5ZDQtNzYwMjhmMzcwN2JiXkEyXkFqcGc@._V1_SX300.jpg
2025-10-06,After Hours,1985,https://boxd.it/1VfS,"Comedy, Crime, Drama",Martin Scorsese,Joseph Minion,"Griffin Dunne, Rosanna Arquette, Verna Bloom",English,United States,https://m.media-amazon.com/images/M/MV5BMTUxMjEzMzI2MV5BMl5BanBnXkFtZTgwNTU3ODAxMDE@._V1_SX300.jpg
2025-10-06,Gangs of New York,2002,https://boxd.it/25FG,"Crime, Drama",Martin Scorsese,"Jay Cocks, Steven Zaillian, Kenneth Lonergan","Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis","English, Irish Gaelic, Chinese, Latin","United States, Italy",https://m.media-amazon.com/images/M/MV5BMTQ0MDA0MTUtYzkzMi00NDY3LThhZDEtNGM4MWUwYzMyZDk5XkEyXkFqcGc@._V1_SX300.jpg
2025-10-06,Cape Fear,1991,https://boxd.it/28vu,"Crime, Thriller",Martin Scorsese,"John D. MacDonald, James R. Webb, Wesley Strick","Robert De Niro, Nick Nolte, Jessica Lange",English,United States,https://m.media-amazon.com/images/M/MV5BNTBkNTYwZTctOTgxYS00ZmIyLTgzNDAtODJhZjg2MDUwNmFlXkEyXkFqcGc@._V1_SX300.jpg
2025-10-12,Requiem for a Dream,2000,https://boxd.it/29VI,Drama,Darren Aronofsky,"Hubert Selby Jr., Darren Aronofsky","Ellen Burstyn, Jared Leto, Jennifer Connelly",English,United States,https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_SX300.jpg
2025-10-16,Hard Labor,2011,https://boxd.it/3km2,"Drama, Horror, Mystery","Marco Dutra, Juliana Rojas","Juliana Rojas, Marco Dutra","Helena Albergaria, Marat Descartes, Naloana Lima",Portuguese,Brazil,https://m.media-amazon.com/images/M/MV5BMTQ0NzI3MzY3MV5BMl5BanBnXkFtZTgwNTM1ODQyNzE@._V1_SX300.jpg
2025-10-17,The Red Light Bandit,1968,https://boxd.it/5ESQ,"Crime, Thriller",Rogério Sganzerla,Rogério Sganzerla,"Helena Ignez, Paulo Villaça, Pagano Sobrinho",Portuguese,Brazil,https://m.media-amazon.com/images/M/MV5BY2QxNWVjN2ItNGI2ZS00YmU4LTk3NTUtMDEzYzAwZTc1OTRjXkEyXkFqcGc@._V1_SX300.jpg
2025-10-20,Black Phone 2,2025,https://boxd.it/JpbW,Horror,Scott Derrickson,"Joe Hill, Scott Derrickson, C. Robert Cargill","Ethan Hawke, Mason Thames, Madeleine McGraw","English, Spanish","United States, Canada",https://m.media-amazon.com/images/M/MV5BMTVjMzNmZGYtOWU5NS00NDYzLThhZTktZGNlODIwYWVhMDRmXkEyXkFqcGc@._V1_SX300.jpg
2025-10-20,Lord of War,2005,https://boxd.it/284y,"Crime, Drama",Andrew Niccol,Andrew Niccol,"Nicolas Cage, Ethan Hawke, Jared Leto","English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish","Germany, United States, France",https://m.media-amazon.com/images/M/MV5BNThlY2NkYmMtNTFhNi00MzBiLWJmNzEtZjk5MzYwYWU2MjllXkEyXkFqcGc@._V1_SX300.jpg
2025-10-20,Deep End,1970,https://boxd.it/i8m,"Comedy, Drama, Romance",Jerzy Skolimowski,"Jerzy Skolimowski, Jerzy Gruza, Boleslaw Sulik","Jane Asher, John Moulder-Brown, Karl Michael Vogler",English,"United Kingdom, West Germany",https://m.media-amazon.com/images/M/MV5BOGYwOTcyY2ItOGIzNC00ZDJlLTg5MWUtNDc1Mzc0NjBjNWI0XkEyXkFqcGc@._V1_SX300.jpg
2025-10-20,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,Horror,Wes Craven,Wes Craven,"Heather Langenkamp, Johnny Depp, Robert Englund",English,United States,https://m.media-amazon.com/images/M/MV5BNTZmN2VlMWMtMTdlMi00NDBhLWIyODMtODEwMzM0ODMwMWYwXkEyXkFqcGc@._V1_SX300.jpg
2025-10-21,I Love You Phillip Morris,2009,https://boxd.it/1ZvK,"Biography, Comedy, Crime","Glenn Ficarra, John Requa","John Requa, Glenn Ficarra, Steve McVicker","Jim Carrey, Ewan McGregor, Leslie Mann","English, Spanish","France, United States",https://m.media-amazon.com/images/M/MV5BNmE1ZDQwNGUtYTIwOS00YmRiLTllOGItNjBiNDNhMmJmNWQ4XkEyXkFqcGc@._V1_SX300.jpg
2025-10-31,Good Boy,2025,https://boxd.it/SC0q,"Horror, Thriller",Viljar Bøe,Viljar Bøe,"Gard Løkke, Katrine Lovise Øpstad Fredriksen, Nicolai Narvesen Lied",Norwegian,Norway,https://m.media-amazon.com/images/M/MV5BYzhiNDZjZDItMDhhZC00YWM4LTg3ZDgtODQ5ZmI1ZjZjZDcyXkEyXkFqcGc@._V1_SX300.jpg
2025-11-01,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,Horror,Tobe Hooper,"Kim Henkel, Tobe Hooper","Marilyn Burns, Edwin Neal, Allen Danziger",English,United States,https://m.media-amazon.com/images/M/MV5BYjE1MGJkMjUtY2VkNi00N2U1LWI2NWEtMDExNGYzYjRkZTM0XkEyXkFqcGc@._V1_SX300.jpg
2025-11-03,The Blair Witch Project,1999,https://boxd.it/26ua,"Horror, Mystery","Daniel Myrick, Eduardo Sánchez","Daniel Myrick, Eduardo Sánchez, Heather Donahue","Heather Donahue, Joshua Leonard, Michael C. Williams",English,United States,https://m.media-amazon.com/images/M/MV5BNGFmYzA5NzktOTc1Ni00YTIxLWJiZTEtNmEyZjBjNDM2MjRlXkEyXkFqcGc@._V1_SX300.jpg
2025-11-03,Inferno,1980,https://boxd.it/1KbK,"Action, Adventure, Crime",Ron Howard,"Dan Brown, David Koepp","Tom Hanks, Felicity Jones, Irrfan Khan","English, French, Italian, Turkish","United States, Hungary",https://m.media-amazon.com/images/M/MV5BMTUzNTE2NTkzMV5BMl5BanBnXkFtZTgwMDAzOTUyMDI@._V1_SX300.jpg
2025-11-03,Friday the 13th,1980,https://boxd.it/24fs,"Horror, Mystery, Thriller",Sean S. Cunningham,"Victor Miller, Ron Kurz","Betsy Palmer, Adrienne King, Jeannine Taylor",English,United States,https://m.media-amazon.com/images/M/MV5BNzI1ODZhNDctNTdjOC00Mzg2LTg1ZjktNjJkNjA2YzYxMGQzXkEyXkFqcGc@._V1_SX300.jpg
2025-11-03,The Witch,2015,https://boxd.it/9X0m,"Drama, Fantasy, Horror",Robert Eggers,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie",English,"United Kingdom, Canada, United States",https://m.media-amazon.com/images/M/MV5BMTUyNzkwMzAxOF5BMl5BanBnXkFtZTgwMzc1OTk1NjE@._V1_SX300.jpg
2025-11-03,Carrie,1976,https://boxd.it/20ZQ,"Horror, Mystery",Brian De Palma,"Stephen King, Lawrence D. Cohen","Sissy Spacek, Piper Laurie, Amy Irving",English,United States,https://m.media-amazon.com/images/M/MV5BNjMwMDVlZjYtMWRlZS00OTU1LTlmYTQtOGViNTdmYTE0ZjRlXkEyXkFqcGc@._V1_SX300.jpg
2025-11-08,Bugonia,2025,https://boxd.it/qeWY,"Comedy, Crime, Sci-Fi",Yorgos Lanthimos,"Jang Joon-hwan, Will Tracy","Jesse Plemons, Emma Stone, Alicia Silverstone",English,"Ireland, United Kingdom, Canada, South Korea, United States",https://m.media-amazon.com/images/M/MV5BNzIzNWQxMjEtZmQ3MS00OTk2LWFlZjktZDUyYWRkM2M3NWVlXkEyXkFqcGc@._V1_SX300.jpg
2025-11-16,Speed,1994,https://boxd.it/28qk,"Action, Adventure, Thriller",Jan de Bont,Graham Yost,"Keanu Reeves, Dennis Hopper, Sandra Bullock",English,United States,https://m.media-amazon.com/images/M/MV5BMDc2ODI5YWQtMmM2ZS00MTdmLWEyNWEtNmRmOGE5NGZlYWMzXkEyXkFqcGc@._V1_SX300.jpg
2025-11-21,Dog Day Afternoon,1975,https://boxd.it/29bg,"Biography, Crime, Drama",Sidney Lumet,"Frank Pierson, P.F. Kluge, Thomas Moore","Al Pacino, John Cazale, Penelope Allen",English,United States,https://m.media-amazon.com/images/M/MV5BY2RjNTg2ODMtZWQ4NC00MDdhLWE4MDgtMWFjMjI4ZTIxMGY4XkEyXkFqcGc@._V1_SX300.jpg
2025-11-24,Memories of Murder,2003,https://boxd.it/1TSo,"Crime, Drama, Mystery",Bong Joon Ho,"Bong Joon Ho, Kwang-rim Kim, Sung-bo Shim","Song Kang-ho, Kim Sang-kyung, Kim Roe-ha","Korean, English",South Korea,https://m.media-amazon.com/images/M/MV5BYmRjOWE5NmMtYTdkYS00ODFlLWJiMTMtYzE2NDZlZjlkZDQ0XkEyXkFqcGc@._V1_SX300.jpg
